Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
998,Baxcalibur,115,145,92,75,86,87,600,Dragon,Ice,Thermal Exchange,,Ice Body,3 Atk,Neutral,Dragon,Mineral,10,Level 54,9
999,Gimmighoul,45,30,70,75,70,10,300,Ghost,,Rattled,,,1 SpA,None,-,,45,,9
"1,000",Gholdengo,87,60,95,133,91,84,550,Ghost,Steel,Good as Gold,,,2 SpA,None,-,,45,"Level, 999 Gimmighoul Coins",9
"1,001",Wo-Chien,85,85,100,95,165,70,600,Dark,Grass,Tablets of Ruin,,,3 SpD,None,-,,6,N,9
"1,002",Chien-Pao,80,120,80,90,65,135,570,Dark,Ice,Sword of Ruin,,,3 Spd,None,-,,6,N,9
"1,003",Ting-Lu,155,110,125,55,80,45,570,Dark,Ground,Vessle of Ruin,,,3 Def,None,-,,6,N,9
"1,004",Chi-Yu,55,80,80,135,120,100,570,Dark,Fire,Beads of Ruin,,,3 SpA,None,-,,6,N,9
"1,005",Roaring Moon,105,139,71,55,101,119,590,Dragon,Dark,Protosynthesis,,,3 Atk,None,-,,10,N,9
"1,006",Iron Valiant,74,130,90,120,60,116,590,Fighting,Fairy,Quark Drive,,,3 Atk,None,-,,10,N,9
"1,007",Koraidon,100,135,115,85,100,135,670,Fighting,Dragon,Orichalcum Pulse,,,3 Atk,None,-,,3,N,9
"1,008",Miraidon,100,85,100,135,115,135,670,Electric,Dragon,Hadron Engine,,,3 SpA,None,-,,3,N,9
"1,009",Walking Wake,99,83,91,125,83,109,590,Water,Dragon,Protosynthesis,,,3 SpA,None,-,,5,N,9
"1,010",Iron Leaves,90,130,88,70,108,104,590,Grass,Psychic,Quark Drive,,,3 Atk,None,-,,5,N,9
"1,011",Dipplin,80,80,110,95,80,40,485,Grass,Dragon,Supersweet Syrup,Gluttony,Sticky Hold,,,,,,,9
"1,012",Poltchageist,40,45,45,74,54,50,308,Grass,Ghost,Hospitality,,Heatproof,,,,,,,9
"1,013",Sinistcha,71,60,106,121,80,70,508,Grass,Ghost,Hospitality,,Heatproof,,,,,,,9
"1,014",Okidogi,88,128,115,58,86,80,555,Poison,Fighting,Toxic Chain,,Guard Dog,,,,,,,9
"1,015",Munkidori,88,75,66,130,90,106,555,Poison,Psychic,Toxic Chain,,Frisk,,,,,,N,9
"1,016",Fezandipiti,88,91,82,70,125,99,555,Poison,Fairy,Toxic Chain,,Technician,,,,,,N,9
"1,017",Ogerpon,80,120,84,60,96,110,550,Grass,,Defiant,,,,,,,,N,9
"1,018",Archaludon,90,105,130,125,65,85,600,Steel,Dragon,Stamina,Sturdy,Stalwart,,,,,,N,9
"1,019",Hydrapple,106,80,110,120,80,44,540,Grass,Dragon,Supersweet Syrup,Regenerator,Sticky Hold,,,,,,,9
"1,020",Gouging Fire,105,115,121,65,93,91,590,Fire,Dragon,Protosynthesis,,,,,,,,,9
"1,021",Raging Bolt,125,73,91,137,89,75,590,Electric,Dragon,Quark Drive,,,,,,,,,9
"1,022",Iron Boulder,90,120,80,68,128,124,590,Rock,Psychic,Quark Drive,,,,,,,,,9
"1,023",Iron Crown,90,72,100,122,108,98,590,Steel,Psychic,Quark Drive,,,,,,,,,9
"1,024",Terapagos,90,65,85,65,85,60,450,Normal,,Tera Shift,,,,,,,,,9
"1,025",Pecharunt,88,88,160,88,88,88,600,Poison,Ghost,Poison Puppeteer,,,3 Def,None,,,,N,9
